WL(nm),Abs, T%
700,4.487,0
701,4.4873,0
702,4.4874,0
703,4.1864,0.01
704,4.4872,0
705,4.1858,0.01
706,4.1854,0.01
707,4.4859,0
708,4.1843,0.01
709,4.4846,0
710,4.4838,0
711,4.483,0
712,4.4818,0
713,4.4806,0
714,4.1783,0.01
715,4.4779,0
716,4.4764,0
717,4.1736,0.01
718,4.473,0
719,3.9942,0.01
720,4.4696,0
721,4.4678,0
722,4.1649,0.01
723,4.4639,0
724,4.4618,0
725,4.1587,0.01
726,4.1566,0.01
727,4.4555,0
728,4.4532,0
729,4.4508,0
730,3.9712,0.01
731,4.4457,0
732,4.4431,0
733,4.1394,0.01
734,4.1368,0.01
735,3.958,0.01
736,4.4322,0
737,4.4294,0
738,4.1255,0.01
739,4.4236,0
740,4.4207,0
741,4.1167,0.01
742,4.4145,0
743,4.1105,0.01
744,3.9311,0.01
745,4.4052,0
746,4.4022,0
747,4.3991,0
748,4.3961,0
749,4.3928,0
750,4.3895,0
751,4.3861,0
752,4.0812,0.01
753,4.3785,0
754,4.3748,0
755,4.3711,0
756,4.0665,0.01
757,3.8868,0.01
758,4.0592,0.01
759,4.3562,0
760,4.0513,0.01
761,4.3488,0
762,4.0441,0.01
763,4.3412,0
764,4.3375,0
765,4.3337,0
766,4.0289,0.01
767,4.326,0
768,4.0211,0.01
769,4.3184,0
770,4.0136,0.01
771,4.3108,0
772,4.3067,0
773,4.0012,0.01
774,4.2984,0.01
775,4.1208,0.01
776,4.2929,0.01
777,4.5897,0
778,4.2845,0.01
779,4.5814,0
780,4.2762,0.01
781,4.096,0.01
782,4.5691,0
783,4.5649,0
784,4.2596,0.01
785,4.5565,0
786,3.9502,0.01
787,3.946,0.01
788,4.2428,0.01
789,3.9374,0.01
790,4.234,0.01
791,4.2295,0.01
792,4.049,0.01
793,4.2207,0.01
794,3.9152,0.01
795,4.212,0.01
796,4.2076,0.01
797,4.027,0.01
798,4.0227,0.01
799,4.4954,0
800,4.1901,0.01
801,4.1857,0.01
802,4.0052,0.01
803,4.4779,0
804,4.4735,0
805,3.8672,0.01
806,4.1641,0.01
807,4.4613,0
808,3.9801,0.01
809,4.1519,0.01
810,3.9715,0.01
811,3.9671,0.01
812,4.4395,0
813,3.8328,0.01
814,4.4305,0
815,4.4261,0
816,3.9448,0.01
817,4.4179,0
818,4.1129,0.01
819,3.808,0.02
820,4.105,0.01
821,3.9248,0.01
822,3.7959,0.02
823,4.093,0.01
824,3.9132,0.01
825,3.9093,0.01
826,4.3826,0
827,3.9018,0.01
828,4.3752,0
829,3.8946,0.01
830,4.0673,0.01
831,4.3649,0
832,3.7592,0.02
833,4.0562,0.01
834,4.3535,0
835,3.8729,0.01
836,4.3466,0
837,4.3433,0
838,3.6411,0.02
839,4.3367,0
840,3.8564,0.01
841,3.5523,0.03
842,4.3274,0
843,3.8474,0.01
844,4.0204,0.01
845,4.3183,0
846,3.8384,0.01
847,4.3126,0
848,4.3098,0
849,4.006,0.01
850,4.3045,0
851,4.1745,0.01
852,4.4746,0
853,4.1727,0.01
854,4.473,0
855,4.4722,0
856,4.4714,0
857,4.4707,0
858,4.47,0
859,4.4693,0
860,4.1677,0.01
861,4.4681,0
862,3.9903,0.01
863,4.4667,0
864,4.1651,0.01
865,4.4656,0
866,4.465,0
867,4.4644,0
868,4.4638,0
869,4.4632,0
870,4.4626,0
871,4.4619,0
872,4.1603,0.01
873,4.4608,0
874,3.9831,0.01
875,4.4596,0
876,4.158,0.01
877,4.4584,0
878,4.1567,0.01
879,4.4571,0
880,4.1553,0.01
881,4.1546,0.01
882,4.1539,0.01
883,4.4541,0
884,4.4535,0
885,4.4527,0
886,4.4519,0
887,4.1501,0.01
888,4.1492,0.01
889,4.1484,0.01
890,4.4486,0
891,4.4477,0
892,3.9695,0.01
893,4.4454,0
894,4.1433,0.01
895,4.1421,0.01
896,3.9649,0.01
897,4.4408,0
898,4.4395,0
899,4.4383,0
