X-Axis'	Z-Axis'
15176.470588	1706.634530
15294.117647	1704.925545
15411.764706	1704.711922
15529.411765	1704.284676
15647.058824	1705.566414
15764.705882	1706.848153
15882.352941	1707.061776
16000.000000	1705.780037
16117.647059	1707.489022
16235.294118	1707.489022
16352.941176	1709.411629
16470.588235	1710.266121
16588.235294	1713.043221
16705.882353	1711.334237
16823.529412	1711.120614
16941.176471	1712.829598
17058.823529	1713.256844
17176.470588	1714.111336
17294.117647	1713.470467
17411.764706	1715.393075
17529.411765	1713.684090
17647.058824	1714.324959
17764.705882	1717.315682
17882.352941	1724.792489
18000.000000	1718.383797
18117.647059	1716.888436
18235.294118	1716.674813
18352.941176	1719.665535
18470.588235	1720.306405
18588.235294	1719.451912
18705.882353	1718.811043
18823.529412	1720.306405
18941.176471	1720.947274
19058.823529	1721.160897
19176.470588	1723.510750
19294.117647	1723.083504
19411.764706	1723.083504
19529.411765	1729.705819
19647.058824	1728.210457
19764.705882	1725.006112
19882.352941	1725.860604
20000.000000	1728.851326
20117.647059	1727.355965
20235.294118	1727.142342
20352.941176	1728.210457
20470.588235	1732.910164
20588.235294	1733.123787
20705.882353	1728.851326
20823.529412	1728.851326
20941.176471	1729.705819
21058.823529	1733.337410
21176.470588	1733.123787
21294.117647	1732.269295
21411.764706	1733.764657
21529.411765	1732.910164
21647.058824	1735.046395
21764.705882	1735.900887
21882.352941	1738.464364
22000.000000	1737.182625
22117.647059	1736.755379
22235.294118	1739.959725
22352.941176	1738.891610
22470.588235	1737.396248
22588.235294	1739.746102
22705.882353	1738.891610
22823.529412	1741.027840
22941.176471	1741.241463
23058.823529	1740.600594
23176.470588	1744.018563
23294.117647	1743.804940
23411.764706	1742.309578
23529.411765	1742.950448
23647.058824	1744.232186
23764.705882	1745.727547
23882.352941	1747.222909
24000.000000	1746.154793
24117.647059	1747.222909
24235.294118	1747.436532
24352.941176	1748.077401
24470.588235	1748.077401
24588.235294	1748.931893
24705.882353	1748.504647
24823.529412	1750.213631
24941.176471	1753.631600
25058.823529	1751.922616
25176.470588	1750.427254
25294.117647	1755.126961
25411.764706	1756.835946
25529.411765	1755.126961
25647.058824	1757.904061
25764.705882	1764.953621
25882.352941	1763.671883
26000.000000	1745.727547
26117.647059	1739.318856
26235.294118	1734.832772
26352.941176	1719.665535
26470.588235	1704.711922
26588.235294	1687.622078
26705.882353	1666.473397
26823.529412	1664.978035
26941.176471	1662.628182
27058.823529	1661.987313
27176.470588	1662.841805
27294.117647	1665.832528
27411.764706	1666.473397
27529.411765	1667.541512
27647.058824	1666.473397
27764.705882	1667.327889
27882.352941	1669.677742
28000.000000	1671.173104
28117.647059	1670.532235
28235.294118	1670.745858
28352.941176	1672.027596
28470.588235	1672.882088
28588.235294	1673.309334
28705.882353	1674.377449
28823.529412	1675.231942
28941.176471	1676.086434
29058.823529	1678.436287
29176.470588	1678.649910
29294.117647	1696.167000
29411.764706	1751.281746
29529.411765	1779.907235
29647.058824	1778.198250
29764.705882	1780.120858
29882.352941	1782.043465
30000.000000	1779.907235
