[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3972828571.90096,11-20-2025,7:29 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC589,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM154,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,LSCO(3)STO(111),SAMPLE_MATERIAL
INFO,IN PLANE,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3*3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.5,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3972832517.19208,28.9291553497314,99.9516067504883,,,6,,,,32.329999627173,,,1,,28.7772483825684,29.0519218444824,99.9516067504883,99.9516067504883,,,6.84661483764648,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,29.092212677002,0,28.9274294376373,,,-1.65326238024728E-5,8.22657991076496E-7,-1.66197080992658E-5,8.22834562436587E-7,0.89942991733551,0.990626037120819,31.950231552124,0,30,4,200,-0.000110811059130356,-0.567766964435577,-0.483466178178787,1,,,,,,,,,,,,,,,,
,3972832527.47055,29.2632579803467,99.9516067504883,,,6,,,,32.329999627173,,,1,,29.092212677002,29.4210872650146,99.9516067504883,99.9516067504883,,,6.85564041137695,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,29.4343032836914,0,29.2442300584581,,,-1.65161628418595E-5,8.21862752593464E-7,-1.66037000853959E-5,8.22039511720448E-7,0.899140655994415,0.990912079811096,31.9490451812744,7.13534836904728E-6,30,4,200,-0.000120814685942605,-0.569077134132385,0.611587345600128,1,,,,,,,,,,,,,,,,
,3972832537.8171,29.6041078567505,99.9516067504883,,,6,,,,32.329999627173,,,1,,29.4343032836914,29.7008304595947,99.9516067504883,99.9516067504883,,,6.86469554901123,,1,0,0,0,0.0138092041015625,31.2805480957031,2,1,1,29.7739124298096,0,29.5834744771322,,,-1.65142251822882E-5,8.21702559073077E-7,-1.66003297631573E-5,8.21876755875307E-7,0.8999063372612,0.990389108657837,31.9522037506103,,30,4,200,-0.000120660988613963,-0.570436775684357,0.610091865062714,1,,,,,,,,,,,,,,,,
,3972832548.37661,29.9468202590942,99.9516067504883,,,6,,,,32.329999627173,,,1,,29.7927989959717,30.0599231719971,99.9516067504883,99.9516067504883,,,6.87465953826904,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,30.1008415222168,0,29.9343295097351,,,-1.65055176308021E-5,8.21304648262239E-7,-1.65924059347803E-5,8.21480300564983E-7,0.899480104446411,0.990914106369018,31.9503536224365,,30,4,200,-0.000126051076222211,-0.571913540363312,0.608644187450409,1,,,,,,,,,,,,,,,,
,3972832558.4411,30.2762060165405,99.9516067504883,,,6,,,,32.329999627173,,,1,,30.1008415222168,30.3964881896973,99.9516067504883,99.9516067504883,,,6.88263654708862,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,30.4515705108643,0,30.2531318664551,,,-1.65111281198677E-5,8.21576578849474E-7,-1.65980582127467E-5,8.21752796671359E-7,0.899564981460571,0.99193274974823,31.9503440856934,2.75524666903948E-6,30,4,200,-0.000123011050163768,-0.573078811168671,-0.488918572664261,1,,,,,,,,,,,,,,,,
,3972832568.75917,30.6268749237061,99.9516067504883,,,6,,,,32.329999627173,,,1,,30.4600601196289,30.7549686431885,99.9516067504883,99.9516067504883,,,6.89083576202393,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,30.7936897277832,0,30.6081716749403,,,-1.65031069202967E-5,8.21113282455365E-7,-1.6588371470815E-5,8.21286819242026E-7,0.90034431219101,0.990151822566986,31.9539260864258,0,30,4,200,-0.000119393866043538,-0.574419677257538,0.606079399585724,1,,,,,,,,,,,,,,,,
,3972832579.05176,30.9531650543213,99.9516067504883,,,6,,,,32.329999627173,,,1,,30.7936897277832,31.0917720794678,99.9516067504883,99.9516067504883,,,6.90101432800293,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,31.1126403808594,0,30.933095296224,,,-1.64880113438181E-5,8.204525320066E-7,-1.65752207421214E-5,8.2063034276256E-7,0.899254441261292,0.990819931030273,31.9495525360107,,30,4,200,-0.000127138817333616,-0.575821816921234,0.60458379983902,1,,,,,,,,,,,,,,,,
,3972832589.36639,31.2883701324463,99.9516067504883,,,6,,,,32.329999627173,,,1,,31.1202564239502,31.4418334960937,99.9516067504883,99.9516067504883,,,6.9090690612793,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,31.4564838409424,0,31.2745238410102,,,-1.64975204136448E-5,8.20872793656361E-7,-1.65836296954694E-5,8.21048037231163E-7,0.899884819984436,0.990585446357727,31.9520225524902,0,30,4,200,-0.000146529375342652,-0.576267004013062,0.602764904499054,1,,,,,,,,,,,,,,,,
,3972832599.65881,31.6264762878418,99.9516067504883,,,6,,,,32.329999627173,,,1,,31.4564838409424,31.7851181030273,99.9516067504883,99.9516067504883,,,6.91677474975586,,1,0,0,0,0.0138092041015625,30.3030319213867,2,1,1,31.7964687347412,0,31.6076992882623,,,-1.6480507364014E-5,8.20008988818213E-7,-1.65661517620603E-5,8.20182941445001E-7,0.900100529193878,0.990632176399231,31.9528293609619,7.8278726505232E-6,30,4,200,-0.000142544609843753,0.517542779445648,0.601885199546814,1,,,,,,,,,,,,,,,,
,3972832610.0125,31.9720945358276,99.9516067504883,,,6,,,,32.329999627173,,,1,,31.7964687347412,32.1151008605957,99.9516067504883,99.9516067504883,,,6.92466020584106,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,32.1477203369141,0,31.9504417843289,,,-1.64809785739774E-5,8.20026505317988E-7,-1.6566381891849E-5,8.20198886199105E-7,0.900168180465698,0.990017056465149,31.95334815979,,30,4,200,-0.000142051081638783,0.516234755516052,0.600450813770294,1,,,,,,,,,,,,,,,,
