Sample Name, GLASS
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
483.0, 0.0501, 89.10
484.0, 0.0501, 89.11
485.0, 0.0501, 89.11
486.0, 0.0499, 89.15
487.0, 0.0499, 89.15
488.0, 0.0500, 89.12
489.0, 0.0500, 89.13
490.0, 0.0500, 89.13
491.0, 0.0499, 89.16
492.0, 0.0497, 89.18
493.0, 0.0497, 89.19
494.0, 0.0496, 89.22
495.0, 0.0496, 89.21
496.0, 0.0496, 89.21
497.0, 0.0495, 89.23
498.0, 0.0494, 89.25
499.0, 0.0494, 89.25
500.0, 0.0494, 89.24
501.0, 0.0493, 89.27
502.0, 0.0493, 89.28
503.0, 0.0493, 89.28
504.0, 0.0492, 89.29
505.0, 0.0492, 89.28
506.0, 0.0491, 89.30
507.0, 0.0491, 89.30
508.0, 0.0490, 89.33
509.0, 0.0490, 89.33
510.0, 0.0489, 89.35
511.0, 0.0488, 89.37
512.0, 0.0489, 89.34
513.0, 0.0489, 89.34
514.0, 0.0489, 89.36
515.0, 0.0488, 89.36
516.0, 0.0488, 89.37
517.0, 0.0489, 89.36
518.0, 0.0488, 89.38
519.0, 0.0488, 89.37
520.0, 0.0488, 89.38
521.0, 0.0487, 89.39
522.0, 0.0487, 89.39
523.0, 0.0488, 89.37
524.0, 0.0487, 89.39
525.0, 0.0488, 89.38
526.0, 0.0488, 89.38
527.0, 0.0487, 89.39
528.0, 0.0488, 89.37
529.0, 0.0488, 89.37
530.0, 0.0488, 89.36
531.0, 0.0488, 89.37
532.0, 0.0488, 89.37
533.0, 0.0488, 89.37
534.0, 0.0488, 89.38
535.0, 0.0489, 89.34
536.0, 0.0488, 89.36
537.0, 0.0488, 89.37
538.0, 0.0489, 89.35
539.0, 0.0489, 89.35
540.0, 0.0490, 89.34
541.0, 0.0490, 89.33
542.0, 0.0489, 89.36
543.0, 0.0489, 89.36
544.0, 0.0488, 89.37
545.0, 0.0490, 89.33
546.0, 0.0489, 89.35
547.0, 0.0490, 89.32
548.0, 0.0491, 89.31
549.0, 0.0490, 89.33
550.0, 0.0492, 89.29
551.0, 0.0491, 89.32
552.0, 0.0491, 89.32
553.0, 0.0490, 89.33
554.0, 0.0490, 89.32
555.0, 0.0491, 89.31
556.0, 0.0492, 89.28
557.0, 0.0494, 89.24
558.0, 0.0497, 89.20
559.0, 0.0497, 89.19
560.0, 0.0496, 89.21
561.0, 0.0497, 89.18
562.0, 0.0497, 89.18
563.0, 0.0498, 89.18
564.0, 0.0500, 89.13
565.0, 0.0502, 89.09
566.0, 0.0503, 89.07
567.0, 0.0501, 89.10
568.0, 0.0501, 89.11
