Sample Name, 45.55.
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
468.0, 1.6619, 2.18
469.0, 1.6575, 2.20
470.0, 1.6500, 2.24
471.0, 1.6443, 2.27
472.0, 1.6396, 2.29
473.0, 1.6315, 2.34
474.0, 1.6282, 2.35
475.0, 1.6235, 2.38
476.0, 1.6171, 2.42
477.0, 1.6135, 2.44
478.0, 1.6091, 2.46
479.0, 1.6034, 2.49
480.0, 1.6012, 2.51
481.0, 1.5949, 2.54
482.0, 1.5911, 2.56
483.0, 1.5895, 2.57
484.0, 1.5837, 2.61
485.0, 1.5808, 2.63
486.0, 1.5779, 2.64
487.0, 1.5768, 2.65
488.0, 1.5724, 2.68
489.0, 1.5685, 2.70
490.0, 1.5658, 2.72
491.0, 1.5624, 2.74
492.0, 1.5600, 2.75
493.0, 1.5558, 2.78
494.0, 1.5544, 2.79
495.0, 1.5522, 2.80
496.0, 1.5501, 2.82
497.0, 1.5456, 2.85
498.0, 1.5438, 2.86
499.0, 1.5429, 2.86
500.0, 1.5392, 2.89
501.0, 1.5388, 2.89
502.0, 1.5352, 2.92
503.0, 1.5327, 2.93
504.0, 1.5309, 2.95
505.0, 1.5277, 2.97
506.0, 1.5259, 2.98
507.0, 1.5257, 2.98
508.0, 1.5234, 3.00
509.0, 1.5221, 3.01
510.0, 1.5189, 3.03
511.0, 1.5195, 3.02
512.0, 1.5166, 3.04
513.0, 1.5151, 3.05
514.0, 1.5134, 3.07
515.0, 1.5111, 3.08
516.0, 1.5083, 3.10
517.0, 1.5087, 3.10
518.0, 1.5080, 3.10
519.0, 1.5058, 3.12
520.0, 1.5051, 3.13
521.0, 1.5041, 3.13
522.0, 1.5030, 3.14
523.0, 1.5026, 3.14
524.0, 1.5003, 3.16
525.0, 1.4983, 3.17
526.0, 1.4972, 3.18
527.0, 1.4962, 3.19
528.0, 1.4970, 3.18
529.0, 1.4946, 3.20
530.0, 1.4923, 3.22
531.0, 1.4930, 3.21
532.0, 1.4915, 3.23
533.0, 1.4904, 3.23
534.0, 1.4900, 3.24
535.0, 1.4898, 3.24
536.0, 1.4904, 3.23
537.0, 1.4885, 3.25
538.0, 1.4868, 3.26
539.0, 1.4867, 3.26
540.0, 1.4856, 3.27
541.0, 1.4860, 3.27
542.0, 1.4872, 3.26
543.0, 1.4864, 3.26
544.0, 1.4886, 3.25
545.0, 1.4890, 3.24
546.0, 1.4888, 3.24
547.0, 1.4898, 3.24
548.0, 1.4895, 3.24
549.0, 1.4877, 3.25
550.0, 1.4887, 3.25
551.0, 1.4875, 3.25
552.0, 1.4859, 3.27
553.0, 1.4855, 3.27
554.0, 1.4833, 3.29
555.0, 1.4830, 3.29
556.0, 1.4808, 3.31
557.0, 1.4793, 3.32
558.0, 1.4791, 3.32
559.0, 1.4779, 3.33
560.0, 1.4754, 3.35
561.0, 1.4744, 3.35
562.0, 1.4723, 3.37
563.0, 1.4718, 3.37
564.0, 1.4703, 3.39
565.0, 1.4687, 3.40
566.0, 1.4680, 3.40
567.0, 1.4663, 3.42
568.0, 1.4632, 3.44
569.0, 1.4599, 3.47
570.0, 1.4566, 3.49
571.0, 1.4550, 3.51
572.0, 1.4521, 3.53
573.0, 1.4502, 3.55
574.0, 1.4495, 3.55
575.0, 1.4499, 3.55
576.0, 1.4480, 3.56
577.0, 1.4493, 3.55
578.0, 1.4491, 3.56
579.0, 1.4490, 3.56
580.0, 1.4495, 3.55
581.0, 1.4505, 3.54
582.0, 1.4508, 3.54
583.0, 1.4514, 3.54
584.0, 1.4516, 3.53
585.0, 1.4519, 3.53
586.0, 1.4044, 3.94
587.0, 1.4044, 3.94
588.0, 1.4046, 3.94
589.0, 1.4036, 3.95
590.0, 1.4047, 3.94
591.0, 1.4052, 3.93
592.0, 1.4046, 3.94
593.0, 1.4052, 3.93
594.0, 1.4052, 3.93
595.0, 1.4066, 3.92
596.0, 1.4057, 3.93
597.0, 1.4055, 3.93
598.0, 1.4061, 3.93
599.0, 1.4046, 3.94
600.0, 1.4051, 3.93
601.0, 1.4037, 3.95
602.0, 1.4033, 3.95
603.0, 1.4037, 3.95
604.0, 1.4037, 3.95
605.0, 1.4039, 3.95
606.0, 1.4043, 3.94
607.0, 1.4038, 3.95
608.0, 1.4034, 3.95
609.0, 1.4036, 3.95
610.0, 1.4020, 3.96
611.0, 1.4022, 3.96
612.0, 1.4016, 3.97
613.0, 1.4012, 3.97
614.0, 1.4015, 3.97
615.0, 1.4011, 3.97
616.0, 1.4006, 3.98
617.0, 1.4005, 3.98
618.0, 1.4002, 3.98
619.0, 1.4001, 3.98
620.0, 1.4003, 3.98
621.0, 1.3991, 3.99
622.0, 1.3992, 3.99
623.0, 1.3979, 4.00
624.0, 1.3970, 4.01
625.0, 1.3975, 4.00
626.0, 1.3963, 4.02
627.0, 1.3962, 4.02
628.0, 1.3962, 4.02
629.0, 1.3954, 4.02
