Sample Name, AL1
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
770.0, 1.4263, 3.75
771.0, 1.4261, 3.75
772.0, 1.4271, 3.74
773.0, 1.4270, 3.74
774.0, 1.4274, 3.74
775.0, 1.4293, 3.72
776.0, 1.4281, 3.73
777.0, 1.4297, 3.72
778.0, 1.4308, 3.71
779.0, 1.4293, 3.72
780.0, 1.4299, 3.72
781.0, 1.4312, 3.70
782.0, 1.4305, 3.71
783.0, 1.4319, 3.70
784.0, 1.4304, 3.71
785.0, 1.4312, 3.71
786.0, 1.4334, 3.69
787.0, 1.4321, 3.70
788.0, 1.4330, 3.69
789.0, 1.4341, 3.68
790.0, 1.4332, 3.69
791.0, 1.4335, 3.69
792.0, 1.4318, 3.70
793.0, 1.4338, 3.68
794.0, 1.4338, 3.68
795.0, 1.4341, 3.68
796.0, 1.4352, 3.67
797.0, 1.4346, 3.68
798.0, 1.4351, 3.67
799.0, 1.4360, 3.66
800.0, 1.4373, 3.65
801.0, 1.4361, 3.66
802.0, 1.4367, 3.66
803.0, 1.4363, 3.66
804.0, 1.4378, 3.65
805.0, 1.4374, 3.65
806.0, 1.4373, 3.65
807.0, 1.4390, 3.64
808.0, 1.4377, 3.65
809.0, 1.4392, 3.64
810.0, 1.4404, 3.63
811.0, 1.4386, 3.64
812.0, 1.4406, 3.63
813.0, 1.4409, 3.62
814.0, 1.4407, 3.63
815.0, 1.4429, 3.61
816.0, 1.4414, 3.62
817.0, 1.4422, 3.61
818.0, 1.4429, 3.61
819.0, 1.4426, 3.61
820.0, 1.4435, 3.60
821.0, 1.4442, 3.60
822.0, 1.4429, 3.61
823.0, 1.4445, 3.59
824.0, 1.4449, 3.59
825.0, 1.4449, 3.59
826.0, 1.4458, 3.58
827.0, 1.4453, 3.59
828.0, 1.4453, 3.59
829.0, 1.4469, 3.57
830.0, 1.4467, 3.57
831.0, 1.4479, 3.57
832.0, 1.4470, 3.57
833.0, 1.4478, 3.57
834.0, 1.4496, 3.55
835.0, 1.4493, 3.55
836.0, 1.4483, 3.56
837.0, 1.4506, 3.54
838.0, 1.4487, 3.56
839.0, 1.4511, 3.54
840.0, 1.4512, 3.54
841.0, 1.4505, 3.54
842.0, 1.4525, 3.53
843.0, 1.4520, 3.53
844.0, 1.4514, 3.54
845.0, 1.4533, 3.52
846.0, 1.4520, 3.53
847.0, 1.4533, 3.52
848.0, 1.4555, 3.50
849.0, 1.4541, 3.51
850.0, 1.4571, 3.49
851.0, 1.4576, 3.49
852.0, 1.4578, 3.49
853.0, 1.4581, 3.48
854.0, 1.4580, 3.48
855.0, 1.4583, 3.48
856.0, 1.4600, 3.47
857.0, 1.4593, 3.47
858.0, 1.4604, 3.46
859.0, 1.4599, 3.47
860.0, 1.4615, 3.46
861.0, 1.4616, 3.45
862.0, 1.4618, 3.45
863.0, 1.4618, 3.45
864.0, 1.4631, 3.44
865.0, 1.4626, 3.45
866.0, 1.4632, 3.44
867.0, 1.4634, 3.44
868.0, 1.4643, 3.43
869.0, 1.4641, 3.43
870.0, 1.4646, 3.43
871.0, 1.4649, 3.43
872.0, 1.4654, 3.42
873.0, 1.4660, 3.42
874.0, 1.4666, 3.42
875.0, 1.4675, 3.41
876.0, 1.4673, 3.41
877.0, 1.4671, 3.41
878.0, 1.4681, 3.40
879.0, 1.4683, 3.40
880.0, 1.4691, 3.40
881.0, 1.4695, 3.39
882.0, 1.4696, 3.39
883.0, 1.4697, 3.39
884.0, 1.4698, 3.39
885.0, 1.4703, 3.39
886.0, 1.4706, 3.38
887.0, 1.4710, 3.38
888.0, 1.4714, 3.38
889.0, 1.4721, 3.37
890.0, 1.4717, 3.38
891.0, 1.4723, 3.37
892.0, 1.4726, 3.37
893.0, 1.4733, 3.36
894.0, 1.4733, 3.36
895.0, 1.4741, 3.36
896.0, 1.4735, 3.36
897.0, 1.4748, 3.35
898.0, 1.4743, 3.36
899.0, 1.4747, 3.35
900.0, 1.4758, 3.34
901.0, 1.4758, 3.34
902.0, 1.4759, 3.34
903.0, 1.4759, 3.34
904.0, 1.4768, 3.34
905.0, 1.4776, 3.33
906.0, 1.4766, 3.34
907.0, 1.4773, 3.33
908.0, 1.4771, 3.33
909.0, 1.4781, 3.33
910.0, 1.4781, 3.33
911.0, 1.4790, 3.32
912.0, 1.4790, 3.32
913.0, 1.4798, 3.31
914.0, 1.4796, 3.31
915.0, 1.4807, 3.31
916.0, 1.4807, 3.31
917.0, 1.4803, 3.31
918.0, 1.4808, 3.31
919.0, 1.4805, 3.31
920.0, 1.4814, 3.30
921.0, 1.4816, 3.30
922.0, 1.4823, 3.29
923.0, 1.4825, 3.29
924.0, 1.4833, 3.29
925.0, 1.4830, 3.29
926.0, 1.4833, 3.29
927.0, 1.4835, 3.28
928.0, 1.4845, 3.28
929.0, 1.4836, 3.28
930.0, 1.4840, 3.28
931.0, 1.4845, 3.28
932.0, 1.4851, 3.27
933.0, 1.4863, 3.26
934.0, 1.4862, 3.26
935.0, 1.4864, 3.26
936.0, 1.4871, 3.26
937.0, 1.4864, 3.26
938.0, 1.4873, 3.26
939.0, 1.4861, 3.26
940.0, 1.4880, 3.25
941.0, 1.4880, 3.25
942.0, 1.4878, 3.25
943.0, 1.4888, 3.25
944.0, 1.4891, 3.24
945.0, 1.4888, 3.24
946.0, 1.4893, 3.24
947.0, 1.4900, 3.24
948.0, 1.4898, 3.24
949.0, 1.4902, 3.23
950.0, 1.4901, 3.23
951.0, 1.4907, 3.23
952.0, 1.4901, 3.24
953.0, 1.4906, 3.23
954.0, 1.4922, 3.22
955.0, 1.4913, 3.23
956.0, 1.4924, 3.22
957.0, 1.4924, 3.22
958.0, 1.4926, 3.22
959.0, 1.4925, 3.22
960.0, 1.4940, 3.21
961.0, 1.4937, 3.21
962.0, 1.4936, 3.21
963.0, 1.4933, 3.21
964.0, 1.4942, 3.20
965.0, 1.4944, 3.20
966.0, 1.4954, 3.20
967.0, 1.4947, 3.20
968.0, 1.4958, 3.19
969.0, 1.4946, 3.20
970.0, 1.4959, 3.19
971.0, 1.4947, 3.20
972.0, 1.4957, 3.19
973.0, 1.4955, 3.20
974.0, 1.4959, 3.19
975.0, 1.4971, 3.18
976.0, 1.4970, 3.18
977.0, 1.4967, 3.19
978.0, 1.4978, 3.18
979.0, 1.4981, 3.18
980.0, 1.4989, 3.17
981.0, 1.4993, 3.17
982.0, 1.4983, 3.17
983.0, 1.5000, 3.16
984.0, 1.4995, 3.17
985.0, 1.4997, 3.16
986.0, 1.5008, 3.16
987.0, 1.5005, 3.16
988.0, 1.5003, 3.16
989.0, 1.5012, 3.15
990.0, 1.5011, 3.15
991.0, 1.5010, 3.15
992.0, 1.5015, 3.15
993.0, 1.5017, 3.15
994.0, 1.5026, 3.14
995.0, 1.5036, 3.14
996.0, 1.5029, 3.14
997.0, 1.5028, 3.14
998.0, 1.5028, 3.14
999.0, 1.5034, 3.14
1000.0, 1.5035, 3.14
1001.0, 1.5033, 3.14
1002.0, 1.5049, 3.13
1003.0, 1.5055, 3.12
1004.0, 1.5039, 3.13
1005.0, 1.5059, 3.12
1006.0, 1.5057, 3.12
1007.0, 1.5047, 3.13
1008.0, 1.5064, 3.12
1009.0, 1.5047, 3.13
1010.0, 1.5065, 3.12
1011.0, 1.5063, 3.12
1012.0, 1.5055, 3.12
1013.0, 1.5071, 3.11
1014.0, 1.5066, 3.11
1015.0, 1.5067, 3.11
1016.0, 1.5073, 3.11
1017.0, 1.5062, 3.12
1018.0, 1.5068, 3.11
1019.0, 1.5063, 3.12
1020.0, 1.5064, 3.12
1021.0, 1.5083, 3.10
1022.0, 1.5062, 3.12
1023.0, 1.5080, 3.10
1024.0, 1.5077, 3.11
1025.0, 1.5076, 3.11
1026.0, 1.5091, 3.10
1027.0, 1.5087, 3.10
1028.0, 1.5086, 3.10
1029.0, 1.5100, 3.09
1030.0, 1.5097, 3.09
1031.0, 1.5098, 3.09
1032.0, 1.5114, 3.08
1033.0, 1.5098, 3.09
1034.0, 1.5116, 3.08
1035.0, 1.5115, 3.08
1036.0, 1.5100, 3.09
1037.0, 1.5123, 3.07
1038.0, 1.5121, 3.08
1039.0, 1.5127, 3.07
1040.0, 1.5138, 3.06
1041.0, 1.5114, 3.08
